Meteorite Hills,1015,15511,H6,22,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1016,15512,H5,11.5,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1017,15513,H6,18.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1018,15514,H6,11.5,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1019,15515,H5,23,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1020,15516,L5,55.9,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1021,15517,LL5,23,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1022,15518,H5,19.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1023,15519,LL6,35.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1024,15520,LL6,19.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1025,15521,LL5,31.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1026,15522,L5,51.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1027,15523,H5,18.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1028,15524,H6,7.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1029,15525,H5,34.8,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1030,15526,H6,20.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1031,15527,Mesosiderite,6.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1032,15528,H6,9.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1033,15529,H6,16.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1034,15530,LL5,29.9,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1035,15531,H6,22.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1036,15532,H6,35.9,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1037,15533,H6,18.1,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1038,15534,Iron: ungrouped,3.69,Found,2000,-79.68333,155.75,"(-79.68333, 155.75)"
Meteorite Hills,1039,15535,H6,27.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1040,15536,L5,43.3,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1041,15537,H6,11.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1042,15538,H6,25.1,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1043,15539,H6,58.8,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1044,15540,H6,12.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1045,15541,H6,7.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1046,15542,LL5,6.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1047,15543,H5,22.9,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1048,15544,H6,11,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1049,15545,H4,37.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1050,15546,LL6,67.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1051,15547,H6,11.2,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1052,15548,L6,26.5,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1053,15549,L5,17.6,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1054,15550,H6,4.8,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1055,15551,L5,6.8,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1056,15552,H5,18.7,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1057,15553,LL6,27.5,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1058,15554,LL6,37.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
Meteorite Hills,1059,15555,H6,26.4,Found,2000,-79.68333,159.75,"(-79.68333, 159.75)"
